time_taken,net_power
0.23813,-10.955
0.11662,-36.971
0.067128,-46.399
0.099957,-68.291
0.16611,-92.179
0.065168,-101.22
0.095058,-117.5
0.093098,-135
0.22637,-174.08
0.049979,-184.28
0.073988,-198.33
0.25038,-230.89
0.01666,-216.98
0.10976,-243.6
0.043119,-252.74
0.14504,-273.58
0.14455,-291.2
0.067128,-296.68
0.048019,-303.42
0.045079,-313.14
0.089178,-320.44
0.048999,-318.93
0.048019,-329.37
0.079868,-340.15
0.033319,-339.12
0.16366,-363.61
0.028909,-355.99
0.01568,-348.84
0.054879,-375.35
0.17885,-394.73
0.20432,-408.08
0.060758,-413.55
0.18179,-429.86
0.13034,-440.44
0.43413,-470.22
0.11858,-475.9
0.27145,-490.96
0.36357,-504.27
0.43462,-510.83
0.29105,-510.22
3.7342,-263.5
0.59974,-192.94
0.043609,-187.78
0.081338,-171.65
0.12593,-160
0.074478,-147.59
0.056839,-137.06
0.24205,-120.69
0.053409,-97.26
0.070068,-96.302
12.326,-120.29
13.579,-546.31
18.954,-242.08
14.592,-621.88
0.43756,-614.36
0.061738,-613.42
0.1176,-616.58
23.299,-35.996
22.126,-1505.1
1.4371,-1552.9
0.12789,-1553.1
0.091628,-1559
0.037729,-1557.2
14.308,-3593.6
25.574,273.48
19.679,417.38
14.851,-327.86
18.064,-436.12
19.746,-1694.1
19.672,-822.24
25.85,-844.82
27.699,186.71
26.946,-776.85
25.624,-847.8
15.428,982.22
0.22392,984.16
0.01372,985.08
0.12593,983.57
0.020579,983.39
4.3432,982.18
15.402,-531.23
20.494,-2511.9
23.295,-1007
6.9642,-387.89
35.355,397.4
20.177,-370.04
18.817,-296.37
15.358,-409.92
11.615,-248.86
10.549,-1067.8
23.358,-1160.9
23.107,-540.28
23.12,567.07
22.976,-351.05
24.34,-415.86
22.928,-439
24.608,-598.94
25.012,-787.95
24.891,-1252.6
23.637,-734.75
24.746,113.89
22.76,-644.04
24.234,-840.09
22.558,-743.12
21.405,-821.74
20.835,-708.18
22.544,-792.72
14.218,-212.58
0.060758,-206.13
6.5786,-92.331
30.921,472.18
32.649,-21.307
32.56,-1356.5
33.032,-558.36
24.8,-841.66
0.92314,-846.26
0.077418,-847.99
17.008,-711.54
33.577,44.813
33.547,599.55
32.889,-430.61
33.334,-1530.5
30.228,-716.49
4.1306,-626.8
22.513,-480.71
17.525,-283.31
23.497,-572.53
20.91,-155.53
24.085,14.111
24.825,-667.72
22.886,-363.78
19.916,-148.95
19.511,-91.116
19.735,-139.68
19.554,-214.35
19.7,-290.95
19.479,-396.86
25.249,-158.75
25.192,622.77
25.257,-37.966
25.581,-343.7
25.088,265.61
25.324,-555.81
25.091,-328.57
25.063,193.3
22.794,103.8
24.801,181.99
25.559,-105.85
26.617,-615.05
23.289,-868.3
24.393,-379.4
23.535,-360.74
24.249,-1154.3
24.349,-621.14
24.704,-163.75
24.444,-169.58
24.678,-245.74
24.412,-597.62
24.465,-959.23
24.73,-978.08
1.6679,128.49
2.3759,441.86
5.4359,1027.3
0.77957,1072.8
0.15631,1081.5
14.883,669.67
15.897,182.57
24.497,-616.34
24.408,-99.589
24.715,-445.49
24.466,-667.98
24.533,-16.688
23.944,-356.69
23.981,-534.43
24.271,-474.84
23.989,36.692
24.972,147
19.356,-311.53
19.184,-502.89
19.067,-119.02
19.924,-238.68
23.719,-243.92
23.98,224.97
23.636,389.47
23.538,121.71
23.778,-1340.3
23.033,-889.37
22.932,-385.87
23.25,-526.91
22.991,-322.97
22.938,-34.579
23.218,-214.1
23.028,-217.73
23.397,801.02
23.786,647.36
24.622,263.72
25.135,-274.49
27.666,183.39
21.705,-678.69
22.183,-842.71
21.98,-306.15
21.823,422.01
21.328,-318.88
23.157,-596.48
24.135,-787.93
24.501,-1314.5
24.178,-81.796
24.107,-67.365
24.364,151.46
24.1,495.57
24.098,652.86
24.481,-640.69
24.06,-263.26
24.172,-343.95
24.022,-862.21
23.908,-636.96
24.15,-1169.6
23.918,-208.48
23.905,-129.08
22.469,546.82
22.344,-282.49
22.19,-356.94
22.428,81.131
22.062,-637.26
22.215,-159.24
22.492,-91.472
22.095,-159.94
22.302,-638.93
22.791,-350.07
22.959,-1053.5
23.841,-591.69
24.091,304.91
24.459,-252.33
24.126,-275.08
24.084,-464.94
24.443,-553.46
24.113,-77.034
24.063,-511.67
24.284,-702.79
24.438,-516.5
24.236,-656.49
24.254,-725.1
24.513,51.731
23.849,828.08
24.245,-162.7
24.149,515.63
24.492,71.092
24.14,224.37
24.191,244.42
24.256,34.725
24.299,-1775.5
24.024,940.64
24.058,1050.6
24.199,134.79
23.894,-267.23
23.866,-454.52
24.567,-868.03
24.233,-478.96
24.172,99.92
31.843,180.37
24.743,183.2
25.015,11.076
24.694,-185.85
24.531,-3.4757
24.528,-345.76
24.535,-197.18
24.525,-156.77
24.594,-205.68
24.576,-803.54
24.472,92.424
24.726,-147.72
24.453,-66.258
24.492,-201.27
24.834,-733.9
24.516,-158.86
24.42,-291.98
24.781,393.01
24.424,538.34
24.579,-105.16
24.677,124.47
24.471,283.2
24.549,247.67
24.832,36.746
